Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	1.198	20.96	20.96	20.96	1.198	20.96	20.96	20.934	1.125	20.96	20.957	20.96	20.96

1.198	21.0	1.064	1.064	1.064	21.0	1.064	1.064	1.076	18.652	1.064	1.064	1.064	1.064

20.96	1.064	21.0	21.0	21.0	1.196	21.0	21.0	20.91	1.125	21.0	20.997	21.0	21.0

20.96	1.064	21.0	21.0	21.0	1.196	21.0	21.0	20.91	1.125	21.0	20.997	21.0	21.0

20.96	1.064	21.0	21.0	21.0	1.196	21.0	21.0	20.91	1.125	21.0	20.997	21.0	21.0

1.198	21.0	1.196	1.196	1.196	21.0	1.064	1.064	1.076	18.652	1.064	1.064	1.064	1.064

20.96	1.064	21.0	21.0	21.0	1.064	21.0	21.0	20.91	1.125	21.0	20.997	21.0	21.0

20.96	1.064	21.0	21.0	21.0	1.064	21.0	21.0	20.91	1.125	21.0	20.997	21.0	21.0

20.934	1.076	20.91	20.91	20.91	1.076	20.91	20.91	21.0	1.125	20.921	20.921	20.921	20.921

1.125	18.652	1.125	1.125	1.125	18.652	1.125	1.125	1.125	21.0	1.119	1.119	1.119	1.119

20.96	1.064	21.0	21.0	21.0	1.064	21.0	21.0	20.921	1.119	21.0	20.997	21.0	21.0

20.957	1.064	20.997	20.997	20.997	1.064	20.997	20.997	20.921	1.119	20.997	21.0	21.0	21.0

20.96	1.064	21.0	21.0	21.0	1.064	21.0	21.0	20.921	1.119	21.0	21.0	21.0	21.0

20.96	1.064	21.0	21.0	21.0	1.064	21.0	21.0	20.921	1.119	21.0	21.0	21.0	21.0

