SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	18.879	20.834	20.841	20.841	20.841	20.835	20.841	20.826	20.96	20.841	20.835	20.841	20.835
18.879	21.0	18.993	19.0	19.0	19.0	19.0	19.0	18.95	18.936	19.0	19.0	19.0	19.0
20.834	18.993	21.0	20.993	20.993	20.993	20.993	20.993	20.934	20.874	20.993	20.993	20.993	20.993
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.835	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.826	18.95	20.934	20.941	20.941	20.941	20.941	20.941	21.0	20.882	20.941	20.941	20.941	20.941
20.96	18.936	20.874	20.891	20.891	20.891	20.891	20.891	20.882	21.0	20.891	20.891	20.891	20.891
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.835	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.841	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
20.835	19.0	20.993	21.0	21.0	21.0	21.0	21.0	20.941	20.891	21.0	21.0	21.0	21.0
