SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	0.0	20.824	20.831	20.831	20.831	20.827	20.831	20.825	20.96	20.831	20.827	20.831	20.823
0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.824	0.0	21.0	20.993	20.993	20.993	20.993	20.993	20.925	20.864	20.993	20.993	20.993	20.991
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.827	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.996
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.825	0.0	20.925	20.931	20.931	20.931	20.931	20.931	21.0	20.881	20.931	20.931	20.931	20.929
20.96	0.0	20.864	20.883	20.883	20.883	20.883	20.883	20.881	21.0	20.883	20.883	20.883	20.879
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.827	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.831	0.0	20.993	21.0	21.0	21.0	21.0	21.0	20.931	20.883	21.0	21.0	21.0	20.998
20.823	0.0	20.991	20.998	20.998	20.998	20.996	20.998	20.929	20.879	20.998	20.998	20.998	21.0
