SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.101	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.002	0.008	0.008	0.008	0.008
0.101	0.0	0.096	0.095	0.095	0.095	0.095	0.095	0.098	0.098	0.095	0.095	0.095	0.095
0.008	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.098	0.003	0.003	0.003	0.003	0.003	0.003	0.0	0.006	0.003	0.003	0.003	0.003
0.002	0.098	0.006	0.005	0.005	0.005	0.005	0.005	0.006	0.0	0.005	0.005	0.005	0.005
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
0.008	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0
