Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	19.084	19.084	19.084	19.084	19.084	19.084	19.084	12.468	21.0	19.084	19.084	19.084	19.084

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.274	19.047	21.0	21.0	21.0	21.0

12.468	14.274	14.274	14.274	14.274	14.274	14.274	14.274	21.0	12.497	14.333	14.333	14.333	14.333

21.0	19.047	19.047	19.047	19.047	19.047	19.047	19.047	12.497	21.0	19.084	19.084	19.084	19.084

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.333	19.084	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.333	19.084	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.333	19.084	21.0	21.0	21.0	21.0

19.084	21.0	21.0	21.0	21.0	21.0	21.0	21.0	14.333	19.084	21.0	21.0	21.0	21.0

