SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.14	0.14	0.141	0.14	0.14	0.1	0.141	0.101	0.136	0.14	0.1	0.141	0.1
0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.006	0.0	0.0	0.0	0.0
0.141	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.14	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.0	0.0
0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.1	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
0.141	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.101	0.007	0.007	0.009	0.007	0.007	0.007	0.009	0.0	0.01	0.007	0.007	0.009	0.007
0.136	0.008	0.006	0.008	0.008	0.008	0.008	0.008	0.01	0.0	0.008	0.008	0.008	0.008
0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.1	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
0.141	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.1	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
