SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	1.962	20.875	20.884	20.884	20.884	20.884	20.884	20.645	20.988	20.884	20.884	20.884	20.879
1.962	21.0	1.99	1.987	1.987	1.987	1.987	1.987	1.986	1.993	1.987	1.987	1.987	1.987
20.875	1.99	21.0	20.994	20.994	20.994	20.994	20.994	20.695	20.884	20.994	20.994	20.994	20.991
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.702	20.892	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.702	20.892	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.702	20.892	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.702	20.892	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.702	20.892	21.0	21.0	21.0	20.997
20.645	1.986	20.695	20.702	20.702	20.702	20.702	20.702	21.0	20.569	20.614	20.614	20.614	20.608
20.988	1.993	20.884	20.892	20.892	20.892	20.892	20.892	20.569	21.0	20.902	20.902	20.902	20.897
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.614	20.902	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.614	20.902	21.0	21.0	21.0	20.997
20.884	1.987	20.994	21.0	21.0	21.0	21.0	21.0	20.614	20.902	21.0	21.0	21.0	20.997
20.879	1.987	20.991	20.997	20.997	20.997	20.997	20.997	20.608	20.897	20.997	20.997	20.997	21.0
