Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.813	20.813	20.813	20.813	20.813	20.813	20.813	18.947	21.0	20.813	20.813	20.813	20.813

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.962	20.786	21.0	21.0	21.0	21.0

18.947	18.962	18.962	18.962	18.962	18.962	18.962	18.962	21.0	18.983	19.141	19.141	19.141	19.141

21.0	20.786	20.786	20.786	20.786	20.786	20.786	20.786	18.983	21.0	20.813	20.813	20.813	20.813

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.141	20.813	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.141	20.813	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.141	20.813	21.0	21.0	21.0	21.0

20.813	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.141	20.813	21.0	21.0	21.0	21.0

