SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	1.0	0.054	0.054	0.054	0.054	0.119	0.054	0.052	0.0	1.0	0.119	0.054	0.119
1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.054	1.0	0.0	0.0	0.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.119	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.052	1.0	0.008	0.008	0.008	0.008	0.008	0.008	0.0	0.052	1.0	0.008	0.008	0.008
0.0	1.0	0.054	0.119	0.119	0.119	0.119	0.119	0.052	0.0	1.0	0.119	0.119	0.119
1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.119	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.054	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
0.119	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.119	1.0	0.0	0.0	0.0
