SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.879	20.879	20.879	20.877	20.879	20.886	20.879	20.925	21.0	20.879	20.886	20.879	20.886
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.879	21.0	21.0	21.0	21.0
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.877	20.996	20.996	20.996	21.0	20.996	20.997	20.996	20.897	20.883	20.996	20.997	20.997	20.997
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.886	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.925	20.9	20.9	20.9	20.897	20.9	20.9	20.9	21.0	20.925	20.9	20.9	20.9	20.9
21.0	20.886	20.879	20.886	20.883	20.886	20.886	20.886	20.925	21.0	20.886	20.886	20.886	20.886
20.879	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.886	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.879	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
20.886	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.9	20.886	21.0	21.0	21.0	21.0
