SA20160323	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160200	SA20160170
21.0	20.928	20.928	20.928	20.928	20.928	20.928	20.917	21.0	10.949	20.928
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.891	20.913	11.0	21.0
20.917	20.891	20.891	20.891	20.891	20.891	20.891	21.0	20.939	10.944	20.926
21.0	20.913	20.913	20.913	20.913	20.913	20.913	20.939	21.0	10.949	20.928
10.949	11.0	11.0	11.0	11.0	11.0	11.0	10.944	10.949	21.0	11.389
20.928	21.0	21.0	21.0	21.0	21.0	21.0	20.926	20.928	11.389	21.0
