Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.836	20.836	20.836	20.836	20.836	20.836	20.836	19.937	21.0	20.831	20.836	20.836	20.836

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.842	20.823	20.995	21.0	21.0	21.0

19.937	19.842	19.842	19.842	19.842	19.842	19.842	19.842	21.0	19.88	19.794	19.799	19.799	19.799

21.0	20.823	20.823	20.823	20.823	20.823	20.823	20.823	19.88	21.0	20.831	20.836	20.836	20.836

20.831	20.995	20.995	20.995	20.995	20.995	20.995	20.995	19.794	20.831	21.0	20.995	20.995	20.995

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.799	20.836	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.799	20.836	20.995	21.0	21.0	21.0

20.836	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.799	20.836	20.995	21.0	21.0	21.0

