SA20160323	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160200	SA20160170
21.0	20.912	20.912	20.912	20.912	20.903	20.912	20.944	21.0	10.919	20.903
20.912	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.912	11.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
20.903	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
20.944	20.912	20.912	20.912	20.912	20.912	20.912	21.0	20.944	10.926	20.912
21.0	20.912	20.903	20.903	20.903	20.903	20.903	20.944	21.0	10.919	20.903
10.919	11.0	11.0	11.0	11.0	11.0	11.0	10.926	10.919	21.0	11.0
20.903	21.0	21.0	21.0	21.0	21.0	21.0	20.912	20.903	11.0	21.0
