Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.797	20.797	20.797	20.797	20.797	20.797	20.797	20.818	21.0	20.797	20.797	20.797	20.797

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.962	20.821	21.0	21.0	21.0	21.0

20.818	20.962	20.962	20.962	20.962	20.962	20.962	20.962	21.0	20.735	20.828	20.828	20.828	20.828

21.0	20.821	20.821	20.821	20.821	20.821	20.821	20.821	20.735	21.0	20.797	20.797	20.797	20.797

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.828	20.797	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.828	20.797	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.828	20.797	21.0	21.0	21.0	21.0

20.797	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.828	20.797	21.0	21.0	21.0	21.0

