Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	12.289	12.289	12.289	12.288	12.289	12.29	12.29	12.284	12.0	12.29	12.29	12.289	12.29

12.289	21.0	21.0	21.0	20.999	21.0	21.001	21.001	20.951	11.95	21.001	21.001	21.0	21.001

12.289	21.0	21.0	21.0	20.999	21.0	21.001	21.001	20.951	11.95	21.001	21.001	21.0	21.001

12.289	21.0	21.0	21.0	20.999	21.0	21.001	21.001	20.951	11.95	21.001	21.001	21.0	21.001

12.288	20.999	20.999	20.999	21.0	20.999	21.0	21.0	20.95	11.95	21.0	21.0	20.999	21.0

12.289	21.0	21.0	21.0	20.999	21.0	21.001	21.001	20.951	11.95	21.001	21.001	21.0	21.001

12.29	21.001	21.001	21.001	21.0	21.001	21.0	21.0	20.91	11.95	21.0	21.0	20.959	21.0

12.29	21.001	21.001	21.001	21.0	21.001	21.0	21.0	20.91	11.95	21.0	21.0	20.959	21.0

12.284	20.951	20.951	20.951	20.95	20.951	20.91	20.91	21.0	11.948	20.947	20.947	20.946	20.947

12.0	11.95	11.95	11.95	11.95	11.95	11.95	11.95	11.948	21.0	12.29	12.29	12.289	12.29

12.29	21.001	21.001	21.001	21.0	21.001	21.0	21.0	20.947	12.29	21.0	21.0	20.959	21.0

12.29	21.001	21.001	21.001	21.0	21.001	21.0	21.0	20.947	12.29	21.0	21.0	20.959	21.0

12.289	21.0	21.0	21.0	20.999	21.0	20.959	20.959	20.946	12.289	20.959	20.959	21.0	21.001

12.29	21.001	21.001	21.001	21.0	21.001	21.0	21.0	20.947	12.29	21.0	21.0	21.001	21.0

