SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	17.87	17.869	17.87	17.87	17.869	17.866	17.87	17.87	21.0	17.87	17.865	17.869	17.865
17.87	21.0	20.999	21.0	21.0	20.998	21.0	21.0	19.888	17.866	21.0	20.998	20.998	20.998
17.869	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.887	17.869	20.999	21.0	21.0	21.0
17.87	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.888	17.866	21.0	20.998	20.998	20.998
17.87	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.888	17.866	21.0	20.998	20.998	20.998
17.869	20.998	21.0	20.999	20.999	21.0	20.999	20.999	19.887	17.865	20.999	21.0	21.0	21.0
17.866	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.888	17.866	21.0	20.999	20.999	20.999
17.87	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.888	17.866	21.0	20.998	20.998	20.998
17.87	19.888	19.887	19.888	19.888	19.887	19.888	19.888	21.0	17.87	19.888	19.887	19.887	19.887
21.0	17.866	17.869	17.866	17.866	17.865	17.866	17.866	17.87	21.0	17.866	17.865	17.865	17.865
17.87	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.888	17.866	21.0	20.998	20.998	20.998
17.865	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.887	17.865	20.998	21.0	21.0	21.0
17.869	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.887	17.865	20.998	21.0	21.0	21.0
17.865	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.887	17.865	20.998	21.0	21.0	21.0
