SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.245	0.0	0.063	0.063	0.063	0.063
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.016	0.0	0.0	0.0	0.0
0.245	0.247	0.247	0.247	0.247	0.247	0.247	0.247	0.0	0.245	0.243	0.243	0.243	0.243
0.0	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.245	0.0	0.063	0.063	0.063	0.063
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.063	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.063	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.063	0.0	0.0	0.0	0.0
0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.063	0.0	0.0	0.0	0.0
