SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.899	20.897	20.897	20.899	20.899	20.821	20.899	20.889	21.0	20.899	20.821	20.899	20.821
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.897	20.998	21.0	20.996	20.998	20.998	20.998	20.998	20.895	20.897	20.998	20.998	20.998	20.998
20.897	20.998	20.996	21.0	20.998	20.998	20.998	20.998	20.895	20.819	20.998	20.998	20.998	20.998
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.821	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.889	20.897	20.895	20.895	20.897	20.897	20.897	20.897	21.0	20.889	20.897	20.897	20.897	20.897
21.0	20.821	20.897	20.819	20.821	20.821	20.821	20.821	20.889	21.0	20.821	20.821	20.821	20.821
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.821	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.899	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
20.821	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.897	20.821	21.0	21.0	21.0	21.0
