Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.96	20.96	20.96	20.96	20.957	20.96	20.96	20.93	21.0	20.96	20.957	20.96	20.96

20.96	21.0	21.0	21.0	21.0	20.997	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.96	21.0	21.0	21.0	21.0	20.997	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.96	21.0	21.0	21.0	21.0	20.997	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.96	21.0	21.0	21.0	21.0	20.997	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.957	20.997	20.997	20.997	20.997	21.0	21.0	21.0	20.91	20.75	21.0	21.0	21.0	21.0

20.96	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.96	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.906	20.75	21.0	20.997	21.0	21.0

20.93	20.906	20.906	20.906	20.906	20.91	20.906	20.906	21.0	20.735	20.919	20.919	20.919	20.919

21.0	20.75	20.75	20.75	20.75	20.75	20.75	20.75	20.735	21.0	20.96	20.957	20.96	20.96

20.96	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.919	20.96	21.0	20.997	21.0	21.0

20.957	20.997	20.997	20.997	20.997	21.0	20.997	20.997	20.919	20.957	20.997	21.0	21.0	21.0

20.96	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.919	20.96	21.0	21.0	21.0	21.0

20.96	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.919	20.96	21.0	21.0	21.0	21.0

