SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.94	20.94	20.94	20.94	20.94	20.944	20.94	20.963	21.0	20.94	20.944	20.94	20.944
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.94	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.963	20.95	20.95	20.95	20.95	20.95	20.95	20.95	21.0	20.963	20.95	20.95	20.95	20.95
21.0	20.944	20.94	20.944	20.944	20.944	20.944	20.944	20.963	21.0	20.944	20.944	20.944	20.944
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.94	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
20.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.95	20.944	21.0	21.0	21.0	21.0
