SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	11.952	11.952	11.952	11.951	11.952	11.945	11.952	11.947	12.0	11.952	11.945	11.952	11.945
11.952	21.0	21.0	21.0	20.999	21.0	20.963	20.963	20.949	11.945	20.963	20.963	21.0	20.963
11.952	21.0	21.0	21.0	20.999	21.0	20.963	20.963	20.949	11.952	20.963	20.963	21.0	20.963
11.952	21.0	21.0	21.0	20.999	21.0	20.963	21.0	20.949	11.945	21.0	20.963	21.0	20.963
11.951	20.999	20.999	20.999	21.0	20.999	20.962	20.999	20.948	11.944	20.999	20.962	20.999	20.962
11.952	21.0	21.0	21.0	20.999	21.0	20.963	20.963	20.949	11.945	20.963	20.963	21.0	20.963
11.945	20.963	20.963	20.963	20.962	20.963	21.0	21.0	20.948	11.945	21.0	21.0	20.963	21.0
11.952	20.963	20.963	21.0	20.999	20.963	21.0	21.0	20.948	11.945	21.0	21.0	21.0	21.0
11.947	20.949	20.949	20.949	20.948	20.949	20.948	20.948	21.0	11.947	20.948	20.948	20.949	20.948
12.0	11.945	11.952	11.945	11.944	11.945	11.945	11.945	11.947	21.0	11.945	11.945	11.945	11.945
11.952	20.963	20.963	21.0	20.999	20.963	21.0	21.0	20.948	11.945	21.0	21.0	21.0	21.0
11.945	20.963	20.963	20.963	20.962	20.963	21.0	21.0	20.948	11.945	21.0	21.0	20.963	21.0
11.952	21.0	21.0	21.0	20.999	21.0	20.963	21.0	20.949	11.945	21.0	20.963	21.0	20.963
11.945	20.963	20.963	20.963	20.962	20.963	21.0	21.0	20.948	11.945	21.0	21.0	20.963	21.0
