SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	19.677	19.676	19.677	19.677	19.677	19.677	19.677	14.491	21.0	19.677	19.677	19.677	19.677
19.677	21.0	20.996	20.997	20.997	20.997	20.997	20.997	13.906	19.515	20.997	20.997	20.997	20.997
19.676	20.996	21.0	20.998	20.998	20.998	20.998	20.998	13.904	19.513	20.998	20.998	20.998	20.998
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	13.906	19.515	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	13.906	19.515	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	13.906	19.515	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	13.906	19.515	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	13.906	19.515	21.0	21.0	21.0	21.0
14.491	13.906	13.904	13.906	13.906	13.906	13.906	13.906	21.0	14.376	14.135	14.135	14.135	14.135
21.0	19.515	19.513	19.515	19.515	19.515	19.515	19.515	14.376	21.0	19.677	19.677	19.677	19.677
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	14.135	19.677	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	14.135	19.677	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	14.135	19.677	21.0	21.0	21.0	21.0
19.677	20.997	20.998	21.0	21.0	21.0	21.0	21.0	14.135	19.677	21.0	21.0	21.0	21.0
