SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	14.502	14.715	14.715	14.715	14.502	14.576	14.715	14.65	20.991	14.502	14.715	14.715	14.715
14.502	21.0	17.15	17.15	17.15	17.0	17.045	17.15	17.001	14.69	17.0	17.15	17.15	17.15
14.715	17.15	21.0	21.0	21.0	17.0	18.003	21.0	18.114	14.822	17.0	21.0	21.0	21.0
14.715	17.15	21.0	21.0	21.0	17.0	18.003	21.0	18.114	14.822	17.0	21.0	21.0	21.0
14.715	17.15	21.0	21.0	21.0	17.0	18.003	21.0	18.114	14.822	17.0	21.0	21.0	21.0
14.502	17.0	17.0	17.0	17.0	21.0	17.045	17.15	17.001	14.69	17.0	17.15	17.15	17.15
14.576	17.045	18.003	18.003	18.003	17.045	21.0	17.965	17.426	14.73	17.0	17.965	17.965	17.965
14.715	17.15	21.0	21.0	21.0	17.15	17.965	21.0	18.114	14.822	17.0	21.0	21.0	21.0
14.65	17.001	18.114	18.114	18.114	17.001	17.426	18.114	21.0	14.784	16.897	18.27	18.27	18.27
20.991	14.69	14.822	14.822	14.822	14.69	14.73	14.822	14.784	21.0	14.502	14.715	14.715	14.715
14.502	17.0	17.0	17.0	17.0	17.0	17.0	17.0	16.897	14.502	21.0	17.15	17.15	17.15
14.715	17.15	21.0	21.0	21.0	17.15	17.965	21.0	18.27	14.715	17.15	21.0	21.0	21.0
14.715	17.15	21.0	21.0	21.0	17.15	17.965	21.0	18.27	14.715	17.15	21.0	21.0	21.0
14.715	17.15	21.0	21.0	21.0	17.15	17.965	21.0	18.27	14.715	17.15	21.0	21.0	21.0
