SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	19.944	19.944	19.944	19.944	19.944	19.944	19.944	19.937	21.0	19.944	19.944	19.944	19.944
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.488	18.68	21.0	21.0	21.0	21.0
19.937	19.488	19.488	19.488	19.488	19.488	19.488	19.488	21.0	20.076	20.893	20.893	20.893	20.893
21.0	18.68	18.68	18.68	18.68	18.68	18.68	18.68	20.076	21.0	19.944	19.944	19.944	19.944
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.893	19.944	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.893	19.944	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.893	19.944	21.0	21.0	21.0	21.0
19.944	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.893	19.944	21.0	21.0	21.0	21.0
