Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



21.0	20.938	20.938	20.938	20.938	20.936	20.765	20.938	20.763	21.0	20.938	20.765	20.938	20.765



20.938	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.938	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.935	20.938	21.0	21.0	21.0	21.0



20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.936	21.0	21.0	20.998	20.998	21.0	20.998	20.998	20.935	20.765	20.998	21.0	20.998	20.998



20.765	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	20.998	21.0	21.0



20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.763	20.935	20.935	20.935	20.935	20.935	20.935	20.935	21.0	20.763	20.935	20.935	20.935	20.935



21.0	20.765	20.938	20.765	20.765	20.765	20.765	20.765	20.763	21.0	20.765	20.765	20.765	20.765



20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.765	21.0	21.0	21.0	21.0	21.0	20.998	21.0	20.935	20.765	21.0	21.0	21.0	20.998



20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	21.0	21.0	21.0



20.765	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.935	20.765	21.0	20.998	21.0	21.0



